repair ID,car ID,repair begin date,repair end date,repair description
65,181,2016-04-20,2017-05-20,Damaged car headlights
66,13,2015-08-31,2016-06-13,Car paint peeling off
67,158,2015-08-13,2015-08-22,Damaged car headlights
68,192,2016-02-05,2016-11-07,The bumper was knocked off
69,89,2015-12-23,2015-12-28,Car paint peeling off
70,158,2015-11-17,2016-01-17,Tires need to be repaired
71,143,2015-12-02,2016-03-25,Damaged car headlights
72,62,2015-11-25,2015-12-08,Crash the whole car was scrapped
73,119,2015-09-27,2016-04-10,Car paint peeling off
74,142,2015-10-02,2016-02-06,The bumper was knocked off
75,186,2015-10-18,2015-10-18,Damaged car headlights
76,3,2015-10-28,2015-11-05,Crash the whole car was scrapped
77,82,2015-10-17,2016-04-17,Tires need to be repaired
78,131,2015-12-14,2015-12-16,Tires need to be repaired
79,132,2016-01-22,2016-01-22,The bumper was knocked off
80,45,2016-01-08,2016-01-27,Car paint peeling off
81,130,2015-11-23,2015-11-27,Car paint peeling off
82,75,2016-03-27,2016-03-28,Car paint peeling off
83,7,2016-09-24,2016-09-25,Tires need to be repaired
84,36,2015-12-05,2015-12-07,Tires need to be repaired
85,128,2016-05-08,2016-05-23,Crash the whole car was scrapped
86,196,2016-04-13,2016-09-23,Car paint peeling off
87,182,2015-12-10,2015-12-30,Damaged car headlights
88,108,2016-08-03,2016-10-15,Car paint peeling off
89,140,2016-07-01,2016-07-04,Crash the whole car was scrapped
90,177,2016-03-26,2016-05-18,The bumper was knocked off
91,3,2016-08-28,2017-06-07,Damaged car headlights
92,198,2016-01-25,2016-02-07,Car paint peeling off
93,195,2019-05-03,2019-08-20,Tires need to be repaired
94,58,2016-09-25,2017-06-16,The bumper was knocked off
95,122,2017-05-12,2017-06-22,Damaged car headlights
96,143,2016-04-20,2017-03-19,The bumper was knocked off
97,10,2016-11-24,2017-01-03,The bumper was knocked off
98,147,2018-08-27,2018-10-05,The bumper was knocked off
99,176,2016-05-21,2016-06-04,Crash the whole car was scrapped
100,166,2016-05-31,2016-06-20,Tires need to be repaired
101,121,2016-08-26,2016-10-25,Tires need to be repaired
102,128,2017-02-06,2017-03-21,Damaged car headlights
103,93,2016-07-12,2016-10-02,Damaged car headlights
104,85,2016-09-11,2016-12-10,Car paint peeling off
105,79,2016-08-15,2016-09-25,Damaged car headlights
106,66,2016-08-09,2016-09-07,Damaged car headlights
107,117,2017-02-25,2017-04-22,Car paint peeling off
108,51,2016-09-07,2017-01-01,Car paint peeling off
109,131,2017-08-30,2017-09-02,The bumper was knocked off
110,146,2017-01-29,2017-02-03,Damaged car headlights
111,32,2017-02-17,2017-03-05,Damaged car headlights
112,63,2016-09-24,2016-09-24,Damaged car headlights
113,14,2016-10-04,2016-10-07,Tires need to be repaired
114,73,2016-11-10,2017-04-16,Car paint peeling off
115,133,2016-10-27,2016-10-28,Crash the whole car was scrapped
116,182,2016-10-04,2017-01-22,Damaged car headlights
117,91,2018-08-07,2020-11-19,Damaged car headlights
118,154,2018-01-12,2018-12-04,The bumper was knocked off
119,92,2017-05-28,2017-06-03,Crash the whole car was scrapped
120,56,2017-02-23,2017-04-30,Crash the whole car was scrapped
121,136,2016-11-17,2016-11-22,The bumper was knocked off
122,135,2016-12-03,2017-01-16,The bumper was knocked off
123,115,2017-06-26,2017-09-16,Car paint peeling off
124,29,2016-12-06,2016-12-06,Car paint peeling off
125,185,2016-12-30,2016-12-30,Tires need to be repaired
126,185,2017-01-01,2017-02-02,Damaged car headlights
127,11,2017-01-10,2017-08-31,Crash the whole car was scrapped
128,93,2017-01-17,2017-03-24,The bumper was knocked off
129,34,2017-01-27,2017-04-16,Damaged car headlights
130,146,2017-02-28,2017-06-01,The bumper was knocked off
131,158,2017-05-17,2017-05-22,Crash the whole car was scrapped
132,120,2017-06-23,2017-07-06,Damaged car headlights
133,30,2017-07-07,2017-12-14,The bumper was knocked off
134,119,2017-03-06,2017-04-17,The bumper was knocked off
135,108,2017-04-06,2017-06-04,The bumper was knocked off
136,89,2017-04-03,2017-05-21,Damaged car headlights
137,9,2017-11-15,2017-11-29,Tires need to be repaired
138,16,2017-05-19,2017-05-19,The bumper was knocked off
139,97,2017-07-30,2017-09-08,Tires need to be repaired
140,114,2017-12-26,2018-01-21,Car paint peeling off
141,88,2017-06-20,2017-06-24,Crash the whole car was scrapped
142,185,2019-02-19,2019-03-22,Car paint peeling off
143,102,2017-08-02,2017-10-22,Tires need to be repaired
144,191,2017-08-13,2017-08-19,Car paint peeling off
145,167,2017-07-23,2017-08-24,The bumper was knocked off
146,105,2018-04-21,2018-08-14,Tires need to be repaired
147,73,2017-08-31,2017-09-19,Tires need to be repaired
148,89,2017-09-18,2018-02-16,The bumper was knocked off
149,76,2017-12-14,2017-12-22,Crash the whole car was scrapped
150,107,2017-08-18,2018-05-14,Damaged car headlights
151,152,2018-01-21,2018-02-15,Car paint peeling off
152,133,2018-02-12,2018-03-01,Damaged car headlights
153,17,2018-01-03,2018-01-26,Damaged car headlights
154,95,2018-08-03,2019-01-03,The bumper was knocked off
155,124,2018-05-11,2018-08-23,Car paint peeling off
156,166,2018-01-03,2018-01-05,Crash the whole car was scrapped
157,170,2017-09-24,2018-01-08,Tires need to be repaired
158,142,2017-10-21,2018-01-09,The bumper was knocked off
159,122,2018-10-06,2018-11-28,Tires need to be repaired
160,167,2017-10-04,2018-04-07,Car paint peeling off
161,55,2017-12-12,2018-01-13,Crash the whole car was scrapped
162,113,2017-10-26,2017-11-27,Tires need to be repaired
163,140,2017-10-27,2017-11-03,Damaged car headlights
164,103,2017-11-06,2018-02-07,Tires need to be repaired
165,200,2017-11-08,2017-11-18,The bumper was knocked off
166,23,2017-11-09,2018-03-15,Tires need to be repaired
167,32,2017-12-27,2018-01-05,Crash the whole car was scrapped
168,43,2018-03-15,2018-03-28,Crash the whole car was scrapped
169,39,2017-12-20,2017-12-22,The bumper was knocked off
170,92,2018-06-04,2018-07-13,The bumper was knocked off
171,109,2017-12-10,2018-02-12,Damaged car headlights
172,74,2018-03-04,2018-03-15,Tires need to be repaired
173,144,2018-06-17,2018-08-01,The bumper was knocked off
174,39,2018-02-08,2018-11-22,The bumper was knocked off
175,30,2017-12-24,2019-10-17,Tires need to be repaired
176,115,2018-11-13,2019-04-15,Tires need to be repaired
177,183,2018-01-16,2018-09-02,Car paint peeling off
178,196,2018-07-19,2018-08-11,Car paint peeling off
179,142,2018-06-01,2018-06-22,The bumper was knocked off
180,8,2019-04-25,2019-05-04,The bumper was knocked off
181,157,2018-03-27,2018-04-28,The bumper was knocked off
182,60,2018-03-27,2018-07-11,Car paint peeling off
183,3,2018-04-21,2018-05-21,Damaged car headlights
184,43,2018-04-19,2018-04-19,Car paint peeling off
185,172,2018-06-25,2018-07-02,Crash the whole car was scrapped
186,184,2018-05-05,2018-05-06,Tires need to be repaired
187,37,2018-06-23,2018-06-28,Damaged car headlights
188,199,2018-05-06,2018-05-14,The bumper was knocked off
189,184,2018-07-06,2018-07-12,The bumper was knocked off
190,101,2019-05-27,2019-12-26,Damaged car headlights
191,65,2018-10-01,2019-06-03,Tires need to be repaired
192,165,2018-12-06,2019-03-04,The bumper was knocked off
193,13,2019-03-25,2019-04-23,Tires need to be repaired
194,127,2018-08-05,2018-09-01,Car paint peeling off
195,158,2018-08-20,2018-08-29,Tires need to be repaired
196,67,2018-11-16,2018-11-27,The bumper was knocked off
197,148,2019-08-07,2019-10-03,Car paint peeling off
198,43,2018-08-19,2018-09-28,The bumper was knocked off
199,57,2020-08-25,2020-09-07,Damaged car headlights
200,93,2020-06-23,2020-08-16,Crash the whole car was scrapped
201,3,2018-09-13,2019-05-07,Car paint peeling off
202,6,2020-07-07,2020-07-11,The bumper was knocked off
203,104,2022-06-20,2022-06-20,The bumper was knocked off
204,184,2019-05-26,2019-08-28,Tires need to be repaired
205,178,2019-07-23,2019-08-07,Damaged car headlights
206,74,2019-02-23,2019-08-28,The bumper was knocked off
207,72,2018-12-30,2019-02-05,Tires need to be repaired
208,35,2019-07-01,2019-07-02,Damaged car headlights
209,47,2019-01-07,2019-01-07,Crash the whole car was scrapped
210,42,2019-01-12,2019-01-23,Crash the whole car was scrapped
211,41,2020-01-26,2020-02-23,The bumper was knocked off
212,103,2020-02-12,2020-08-30,Tires need to be repaired
213,100,2020-03-29,2020-04-28,The bumper was knocked off
214,2,2019-10-20,2019-10-20,The bumper was knocked off
215,161,2019-03-10,2019-03-20,Car paint peeling off
216,144,2019-05-13,2019-05-15,Car paint peeling off
217,190,2019-04-08,2019-06-05,Damaged car headlights
218,175,2019-05-21,2019-06-03,Damaged car headlights
219,87,2019-05-31,2020-05-12,Tires need to be repaired
220,141,2019-05-24,2019-05-31,Crash the whole car was scrapped
221,158,2019-05-11,2019-06-22,The bumper was knocked off
222,186,2019-08-15,2019-09-04,Damaged car headlights
223,192,2019-06-27,2019-07-24,Tires need to be repaired
224,162,2019-05-28,2019-08-04,Tires need to be repaired
225,72,2020-07-27,2020-09-13,The bumper was knocked off
226,159,2019-06-15,2019-08-07,Tires need to be repaired
227,127,2020-01-01,2020-02-29,Crash the whole car was scrapped
228,20,2019-09-18,2019-10-30,Damaged car headlights
229,59,2019-09-09,2019-12-13,Tires need to be repaired
230,118,2019-08-25,2020-10-03,Car paint peeling off
231,195,2020-08-12,2020-09-11,Damaged car headlights
232,168,2019-10-17,2020-06-08,The bumper was knocked off
233,184,2020-10-30,2021-06-22,The bumper was knocked off
234,157,2021-12-02,2022-02-12,Crash the whole car was scrapped
235,148,2019-12-21,2020-03-04,Damaged car headlights
236,141,2019-11-09,2020-11-11,The bumper was knocked off
237,24,2021-08-11,2021-09-03,Car paint peeling off
238,13,2019-12-24,2019-12-24,The bumper was knocked off
239,164,2019-12-08,2019-12-08,Crash the whole car was scrapped
240,173,2020-05-31,2020-12-15,Car paint peeling off
241,165,2020-01-15,2020-01-16,Damaged car headlights
242,164,2019-12-09,2020-07-25,Crash the whole car was scrapped
243,153,2019-12-26,2019-12-29,The bumper was knocked off
244,179,2020-01-21,2020-01-28,Crash the whole car was scrapped
245,70,2020-02-15,2020-02-26,Damaged car headlights
246,156,2020-02-05,2020-08-01,Crash the whole car was scrapped
247,143,2020-06-23,2020-11-11,Car paint peeling off
248,131,2020-03-07,2020-05-31,The bumper was knocked off
249,86,2020-04-08,2020-04-08,The bumper was knocked off
250,113,2021-10-16,2021-12-26,Crash the whole car was scrapped
251,70,2020-09-10,2021-06-22,Crash the whole car was scrapped
252,142,2021-03-26,2021-04-21,The bumper was knocked off
253,198,2020-07-29,2020-08-31,Crash the whole car was scrapped
254,127,2020-05-16,2020-05-26,Crash the whole car was scrapped
255,139,2020-06-28,2020-06-28,Crash the whole car was scrapped
256,23,2020-08-05,2020-08-10,The bumper was knocked off
257,160,2020-12-06,2021-03-27,Tires need to be repaired
258,34,2020-05-23,2020-07-05,Tires need to be repaired
259,8,2020-06-02,2020-12-19,The bumper was knocked off
260,166,2020-06-29,2020-06-30,Crash the whole car was scrapped
261,193,2020-06-15,2020-08-29,Crash the whole car was scrapped
262,2,2020-11-30,2021-01-06,Damaged car headlights
263,11,2020-07-02,2021-01-07,Crash the whole car was scrapped
264,74,2020-09-08,2020-12-12,Tires need to be repaired
265,48,2020-09-20,2020-09-23,The bumper was knocked off
266,20,2022-09-01,2023-05-06,Crash the whole car was scrapped
267,139,2022-03-25,2022-04-04,The bumper was knocked off
268,9,2020-11-11,2020-11-15,Crash the whole car was scrapped
269,175,2023-08-15,,Crash the whole car was scrapped
270,59,2021-05-23,2021-07-14,Damaged car headlights
271,97,2020-10-15,2020-12-23,The bumper was knocked off
272,186,2020-10-21,2022-08-06,Car paint peeling off
273,84,2020-11-12,2020-11-12,Crash the whole car was scrapped
274,152,2020-12-04,2021-04-16,Crash the whole car was scrapped
275,174,2022-12-22,,Car paint peeling off
276,93,2021-06-03,2021-10-30,Damaged car headlights
277,9,2021-01-13,2021-01-15,Damaged car headlights
278,115,2020-12-13,2021-01-28,The bumper was knocked off
279,46,2021-03-17,2021-04-21,Tires need to be repaired
280,48,2021-12-22,2022-01-06,Damaged car headlights
281,91,2021-02-05,2021-02-23,Damaged car headlights
282,193,2021-03-07,2021-05-30,Crash the whole car was scrapped
283,94,2022-03-05,2022-03-31,Tires need to be repaired
284,173,2021-01-13,2021-01-20,Damaged car headlights
285,33,2021-01-28,2021-01-28,Damaged car headlights
286,11,2021-03-20,2021-04-26,Tires need to be repaired
287,171,2021-02-06,2021-02-07,Damaged car headlights
288,119,2021-07-30,2021-08-20,Damaged car headlights
289,60,2021-03-01,2021-03-02,Crash the whole car was scrapped
290,9,2022-05-18,2022-08-25,Crash the whole car was scrapped
291,91,2021-03-05,2021-10-31,Car paint peeling off
292,25,2021-03-16,2021-03-16,Car paint peeling off
293,25,2021-04-12,2021-04-14,Damaged car headlights
294,194,2021-03-30,2021-03-31,Tires need to be repaired
295,62,2021-05-12,2022-04-11,Damaged car headlights
296,140,2021-05-27,2021-09-12,Tires need to be repaired
297,194,2022-02-07,2022-10-10,Car paint peeling off
298,164,2021-05-19,2021-11-03,Car paint peeling off
299,25,2021-09-04,2021-09-04,Crash the whole car was scrapped
300,82,2022-01-28,2022-01-28,The bumper was knocked off
301,2,2021-05-17,2021-12-24,The bumper was knocked off
302,114,2021-05-04,2021-08-15,Car paint peeling off
303,50,2021-08-29,2021-08-31,The bumper was knocked off
304,7,2022-09-07,2022-09-07,Tires need to be repaired
305,176,2022-01-27,2022-12-29,The bumper was knocked off
306,38,2022-04-24,2022-05-05,Tires need to be repaired
307,78,2021-09-11,2021-10-14,Damaged car headlights
308,183,2021-09-11,2022-04-11,The bumper was knocked off
309,32,2021-10-06,2022-03-20,The bumper was knocked off
310,111,2021-07-29,2021-12-23,Damaged car headlights
311,106,2021-11-02,2021-11-05,Damaged car headlights
312,31,2021-09-03,2021-09-17,Crash the whole car was scrapped
313,193,2021-09-09,2022-06-07,Damaged car headlights
314,30,2021-12-22,2021-12-22,Crash the whole car was scrapped
315,118,2022-03-03,2022-03-07,Tires need to be repaired
316,3,2022-08-11,2023-08-17,The bumper was knocked off
317,99,2021-10-29,2022-06-08,Car paint peeling off
318,21,2021-11-10,2021-11-26,Damaged car headlights
319,47,2022-06-29,2022-08-26,Car paint peeling off
320,18,2022-08-04,2022-09-01,Tires need to be repaired
321,155,2021-11-25,2021-11-25,Crash the whole car was scrapped
322,127,2021-11-29,,The bumper was knocked off
323,65,2022-08-02,2022-09-21,Crash the whole car was scrapped
324,64,2022-11-01,2022-11-15,The bumper was knocked off
325,22,2022-04-03,2022-06-21,The bumper was knocked off
326,148,2023-03-05,2023-04-09,Damaged car headlights
327,177,2021-12-26,2021-12-28,Crash the whole car was scrapped
328,23,2022-06-12,2022-06-25,Crash the whole car was scrapped
329,171,2022-12-10,2023-01-09,The bumper was knocked off
330,82,2022-01-29,2022-03-03,Damaged car headlights
331,101,2022-03-01,2022-03-24,Tires need to be repaired
332,140,2022-02-09,2022-12-13,Tires need to be repaired
333,147,2023-01-31,2023-03-03,Damaged car headlights
334,70,2022-09-06,2022-10-28,Damaged car headlights
335,111,2022-03-06,2022-03-06,The bumper was knocked off
336,5,2022-09-25,2022-09-29,Crash the whole car was scrapped
337,163,2022-05-07,2022-05-07,The bumper was knocked off
338,77,2022-04-28,2022-04-29,Tires need to be repaired
339,93,2022-10-16,2022-10-17,Tires need to be repaired
340,144,2022-06-06,2022-06-11,The bumper was knocked off
341,8,2023-01-20,2023-04-15,Crash the whole car was scrapped
342,163,2022-05-08,2022-05-09,Damaged car headlights
343,2,2022-06-05,2022-06-20,The bumper was knocked off
344,130,2022-10-26,2023-01-16,Tires need to be repaired
345,181,2022-07-31,2022-12-11,Damaged car headlights
346,86,2023-02-22,2023-08-04,Damaged car headlights
347,179,2022-11-17,2023-01-06,Damaged car headlights
348,138,2022-11-24,2022-12-03,The bumper was knocked off
349,10,2023-01-12,2023-01-22,The bumper was knocked off
350,89,2022-11-12,2022-12-01,The bumper was knocked off
351,81,2022-08-04,2022-08-07,The bumper was knocked off
352,74,2022-11-15,2022-12-14,Damaged car headlights
353,99,2022-12-26,2023-11-25,Crash the whole car was scrapped
354,32,2022-11-18,2023-01-17,Crash the whole car was scrapped
355,119,2022-11-03,2022-11-29,Damaged car headlights
356,23,2022-12-26,2023-01-01,Tires need to be repaired
357,19,2022-12-16,2023-01-15,The bumper was knocked off
358,112,2022-10-01,2022-11-01,Crash the whole car was scrapped
359,137,2022-10-02,2022-11-13,Crash the whole car was scrapped
360,91,2022-10-02,2022-10-14,The bumper was knocked off
361,94,2022-10-14,2022-10-19,Crash the whole car was scrapped
362,50,2023-01-19,2023-03-25,The bumper was knocked off
363,134,2022-11-29,2023-01-03,Damaged car headlights
364,67,2023-08-22,,Car paint peeling off
365,124,2022-12-15,2023-03-07,Crash the whole car was scrapped
366,123,2022-10-18,2023-05-31,Crash the whole car was scrapped
367,57,2023-07-10,2023-07-24,Crash the whole car was scrapped
368,83,2023-03-01,2023-07-17,Car paint peeling off
369,159,2023-01-13,2023-02-02,The bumper was knocked off
370,94,2022-12-02,2022-12-25,Tires need to be repaired
371,138,2022-12-05,,Crash the whole car was scrapped
372,166,2023-01-03,2023-01-16,Tires need to be repaired
373,170,2022-12-18,2022-12-22,The bumper was knocked off
374,95,2023-01-19,2023-05-30,The bumper was knocked off
375,21,2023-01-29,2023-04-13,Car paint peeling off
376,17,2023-06-12,2023-07-10,Crash the whole car was scrapped
377,47,2023-05-21,,Tires need to be repaired
378,62,2023-04-14,2023-09-18,Car paint peeling off
379,79,2023-02-04,2023-02-11,Car paint peeling off
380,162,2023-02-09,2023-02-09,Crash the whole car was scrapped
381,111,2023-02-09,2023-02-09,Damaged car headlights
382,54,2023-04-29,2023-10-12,Tires need to be repaired
383,156,2023-04-02,2023-04-08,Tires need to be repaired
384,147,2023-11-05,,Crash the whole car was scrapped
385,196,2023-07-16,2023-10-02,Car paint peeling off
386,103,2023-10-02,2023-11-22,Car paint peeling off
387,73,2023-08-16,,Tires need to be repaired
388,7,2023-09-25,2023-10-15,Crash the whole car was scrapped
389,45,2023-05-26,2023-06-01,Car paint peeling off
390,149,2023-06-13,2023-07-09,The bumper was knocked off
391,21,2023-08-26,2023-08-28,Tires need to be repaired
392,111,2023-07-01,,Tires need to be repaired
393,88,2023-08-06,2023-08-27,Damaged car headlights
394,94,2023-07-16,2023-07-16,Damaged car headlights
395,52,2023-07-10,,The bumper was knocked off
396,38,2023-07-11,2023-09-14,Damaged car headlights
397,90,2023-08-01,2023-08-29,Tires need to be repaired
398,71,2023-11-18,,The bumper was knocked off
399,36,2023-08-17,2023-10-04,Crash the whole car was scrapped
400,170,2023-10-29,,Damaged car headlights
401,178,2023-08-05,2023-08-14,The bumper was knocked off
402,28,2023-11-05,,The bumper was knocked off
403,21,2023-11-12,,The bumper was knocked off
404,179,2023-09-18,2023-09-23,The bumper was knocked off
405,15,2023-10-18,2023-10-20,The bumper was knocked off
406,83,2023-11-03,2023-11-18,The bumper was knocked off
407,90,2023-11-23,,The bumper was knocked off
408,146,2023-11-17,,Tires need to be repaired
