return ID,rental ID,return date,Vehicle condition description,Handling_personnel,
116,116,2015-03-10,the order completed,10,
117,117,2014-05-27,the car broken,11,
118,118,2014-07-10,the car broken,12,
119,119,2014-05-31,the car broken,13,
120,120,2014-08-23,the order completed,14,
121,121,2014-07-26,the order completed,15,
122,122,2014-07-16,the car broken,16,
123,123,2015-01-23,the order completed,17,
124,124,2014-08-01,the order completed,18,
125,125,2014-06-30,the car broken,1,
126,126,2015-05-19,the order completed,2,
127,127,2014-07-08,the order completed,3,
128,128,2014-06-27,the car broken,4,
129,129,2014-06-26,the car broken,5,
130,130,2016-01-11,the order completed,6,
131,131,2015-01-18,the car broken,7,
132,132,2014-08-05,the order completed,8,
133,133,2014-11-04,the order completed,1,
134,134,2014-09-16,the order completed,2,
135,135,2014-07-06,the order completed,3,
136,136,2014-07-14,the order completed,4,
137,137,2015-06-12,the car broken,5,
138,138,2014-07-16,the order completed,6,
139,139,2014-07-16,the order completed,7,
140,140,2015-06-16,the order completed,8,
141,141,2014-09-07,the order completed,9,
142,142,2014-07-23,the car broken,10,
143,143,2015-05-22,the order completed,11,
144,144,2015-12-28,the car broken,12,
145,145,2014-07-26,the car broken,13,
146,146,2014-10-09,the order completed,14,
147,147,2014-12-14,the order completed,15,
148,148,2014-07-30,the car broken,16,
149,149,2014-10-31,the order completed,17,
150,150,2015-03-20,the order completed,18,
151,151,2014-08-02,the car broken,1,
152,152,2014-08-03,the order completed,2,
153,153,2014-09-21,the order completed,3,
154,154,2014-09-03,the order completed,4,
155,155,2014-08-08,the order completed,5,
156,156,2014-10-21,the order completed,6,
157,157,2015-07-11,the order completed,7,
158,158,2014-09-12,the order completed,8,
159,159,2015-10-04,the order completed,9,
160,160,2014-09-25,the car broken,10,
161,161,2014-12-12,the order completed,11,
162,162,2015-03-31,the order completed,12,
163,163,2015-06-14,the car broken,13,
164,164,2015-04-27,the order completed,14,
165,165,2014-08-27,the order completed,15,
166,166,2014-09-22,the car broken,16,
167,167,2014-09-27,the order completed,17,
168,168,2014-08-26,the order completed,18,
169,169,2014-09-05,the order completed,1,
170,170,2014-09-16,the car broken,2,
171,171,2014-12-11,the order completed,3,
172,172,2015-10-27,the order completed,4,
173,173,2014-09-05,the order completed,5,
174,174,2014-09-22,the order completed,6,
175,175,2014-09-05,the order completed,7,
176,176,2014-09-07,the car broken,8,
177,177,2014-09-10,the car broken,1,
178,178,2014-09-11,the order completed,2,
179,179,2015-01-05,the car broken,3,
180,180,2014-11-12,the car broken,4,
181,181,2015-06-24,the order completed,5,
182,182,2014-09-26,the order completed,6,
183,183,2014-10-21,the order completed,7,
184,184,2014-09-16,the order completed,8,
185,185,2014-12-14,the order completed,9,
186,186,2014-09-23,the order completed,10,
187,187,2014-11-11,the order completed,11,
188,188,2015-07-08,the order completed,12,
189,189,2014-09-27,the order completed,13,
190,190,2016-11-01,the order completed,14,
191,191,2014-10-10,the order completed,15,
192,192,2014-10-10,the order completed,16,
193,193,2014-12-31,the car broken,17,
194,194,2014-10-07,the order completed,18,
195,195,2014-11-15,the order completed,1,
196,196,2014-12-07,the order completed,2,
197,197,2014-11-06,the order completed,3,
198,198,2014-10-05,the order completed,4,
199,199,2015-01-01,the order completed,5,
200,200,2015-08-02,the order completed,6,
201,201,2014-11-17,the order completed,7,
202,202,2014-10-26,the car broken,8,
203,203,2014-12-08,the order completed,9,
204,204,2014-10-16,the order completed,10,
205,205,2014-11-03,the order completed,11,
206,206,2014-10-18,the order completed,12,
207,207,2014-10-19,the order completed,13,
208,208,2015-02-16,the order completed,14,
209,209,2014-11-12,the order completed,15,
210,210,2015-06-04,the order completed,16,
211,211,2015-01-26,the order completed,17,
212,212,2015-01-15,the order completed,18,
213,213,2014-12-21,the order completed,1,
214,214,2015-01-23,the order completed,2,
215,215,2014-11-24,the order completed,3,
216,216,2015-03-03,the order completed,4,
217,217,2014-10-31,the order completed,5,
218,218,2015-07-22,the order completed,6,
219,219,2015-02-28,the order completed,7,
220,220,2015-03-21,the order completed,8,
221,221,2014-12-04,the order completed,1,
222,222,2014-12-07,the order completed,2,
223,223,2015-01-20,the order completed,3,
224,224,2015-05-06,the order completed,4,
225,225,2015-04-14,the order completed,5,
226,226,2015-08-07,the order completed,6,
227,227,2015-02-18,the order completed,7,
228,228,2014-11-21,the car broken,8,
229,229,2015-05-27,the order completed,9,
230,230,2014-12-09,the order completed,10,
231,231,2015-02-28,the order completed,11,
232,232,2014-12-13,the order completed,12,
233,233,2017-08-11,the order completed,13,
234,234,2015-04-15,the order completed,14,
235,235,2014-11-29,the car broken,15,
236,236,2014-12-01,the car broken,16,
237,237,2015-08-05,the order completed,17,
238,238,2014-12-08,the order completed,18,
239,239,2015-02-06,the order completed,1,
240,240,2014-12-14,the order completed,2,
241,241,2017-08-14,the order completed,3,
242,242,2016-07-30,the order completed,4,
243,243,2015-01-03,the order completed,5,
244,244,2015-11-28,the order completed,6,
245,245,2015-01-26,the order completed,7,
246,246,2014-12-17,the order completed,8,
247,247,2014-12-20,the order completed,9,
248,248,2014-12-21,the car broken,10,
249,249,2015-01-09,the order completed,11,
250,250,2015-02-01,the car broken,12,
251,251,2014-12-29,the order completed,13,
252,252,2015-05-10,the order completed,14,
253,253,2015-07-05,the order completed,15,
254,254,2015-06-21,the car broken,16,
255,255,2015-04-27,the order completed,17,
256,256,2015-03-19,the order completed,18,
257,257,2015-02-21,the order completed,1,
258,258,2015-10-10,the order completed,2,
259,259,2015-01-08,the order completed,3,
260,260,2015-01-12,the order completed,4,
261,261,2015-02-03,the order completed,5,
262,262,2015-04-14,the order completed,6,
263,263,2015-01-13,the order completed,7,
264,264,2015-01-10,the car broken,8,
265,265,2015-11-26,the order completed,1,
266,266,2015-01-14,the order completed,2,
267,267,2015-01-16,the order completed,3,
268,268,2015-03-04,the order completed,4,
269,269,2015-04-27,the order completed,5,
270,270,2015-09-29,the order completed,6,
271,271,2015-02-06,the order completed,7,
272,272,2015-09-10,the order completed,8,
273,273,2016-01-13,the order completed,9,
274,274,2015-02-03,the order completed,10,
275,275,2015-05-29,the order completed,11,
276,276,2015-03-20,the order completed,12,
277,277,2015-08-15,the car broken,13,
278,278,2015-08-19,the order completed,14,
279,279,2015-05-05,the order completed,15,
280,280,2015-02-06,the order completed,16,
281,281,2015-04-02,the order completed,17,
282,282,2015-03-20,the order completed,18,
283,283,2015-02-06,the order completed,1,
284,284,2015-07-04,the order completed,2,
285,285,2015-02-10,the order completed,3,
286,286,2015-11-24,the order completed,4,
287,287,2015-04-20,the order completed,5,
288,288,2016-05-08,the order completed,6,
289,289,2015-02-12,the order completed,7,
290,290,2015-06-08,the order completed,8,
291,291,2015-02-16,the order completed,9,
292,292,2015-03-11,the order completed,10,
293,293,2015-07-15,the car broken,11,
294,294,2015-02-19,the order completed,12,
295,295,2015-03-18,the order completed,13,
296,296,2015-02-22,the order completed,14,
297,297,2015-02-24,the order completed,15,
298,298,2015-09-17,the order completed,16,
299,299,2015-03-15,the order completed,17,
300,300,2015-04-09,the order completed,18,
301,301,2015-07-19,the order completed,1,
302,302,2015-03-03,the order completed,2,
303,303,2016-12-25,the order completed,3,
304,304,2015-03-12,the order completed,4,
305,305,2016-04-05,the car broken,5,
306,306,2015-08-04,the order completed,6,
307,307,2015-07-14,the order completed,7,
308,308,2015-03-18,the order completed,8,
309,309,2015-04-27,the order completed,1,
310,310,2015-03-19,the order completed,2,
311,311,2015-04-02,the order completed,3,
312,312,2015-05-17,the order completed,4,
313,313,2016-08-29,the car broken,5,
314,314,2015-04-11,the car broken,6,
315,315,2015-05-12,the order completed,7,
316,316,2015-03-26,the order completed,8,
317,317,2015-03-26,the order completed,9,
318,318,2015-07-01,the car broken,10,
319,319,2015-05-21,the order completed,11,
320,320,2015-04-07,the order completed,12,
321,321,2015-07-20,the order completed,13,
322,322,2015-10-12,the order completed,14,
323,323,2015-05-11,the order completed,15,
324,324,2015-04-05,the order completed,16,
325,325,2015-04-07,the order completed,17,
326,326,2015-04-28,the order completed,18,
327,327,2015-05-19,the order completed,1,
328,328,2015-09-16,the order completed,2,
329,329,2015-04-10,the order completed,3,
330,330,2015-07-08,the order completed,4,
331,331,2015-04-13,the car broken,5,
332,332,2015-05-04,the order completed,6,
333,333,2015-04-27,the order completed,7,
334,334,2015-06-08,the order completed,8,
335,335,2015-05-13,the order completed,9,
336,336,2015-04-29,the order completed,10,
337,337,2015-04-29,the car broken,11,
338,338,2015-09-17,the order completed,12,
339,339,2015-06-08,the order completed,13,
340,340,2015-11-24,the order completed,14,
341,341,2015-05-05,the order completed,15,
342,342,2016-06-14,the order completed,16,
343,343,2015-05-06,the car broken,17,
344,344,2015-05-07,the car broken,18,
345,345,2015-09-02,the car broken,1,
346,346,2015-11-15,the order completed,2,
347,347,2015-10-16,the order completed,3,
348,348,2015-08-16,the car broken,4,
349,349,2015-06-27,the order completed,5,
350,350,2015-06-16,the order completed,6,
351,351,2015-06-04,the order completed,7,
352,352,2015-06-26,the order completed,8,
353,353,2016-06-13,the car broken,1,
354,354,2015-11-30,the order completed,2,
355,355,2015-08-15,the order completed,3,
356,356,2017-11-24,the order completed,4,
357,357,2015-06-18,the order completed,5,
358,358,2015-09-19,the order completed,6,
359,359,2015-06-11,the order completed,7,
360,360,2017-05-11,the order completed,8,
361,361,2015-10-14,the order completed,9,
362,362,2015-05-31,the car broken,10,
363,363,2015-07-15,the order completed,11,
364,364,2015-06-12,the car broken,12,
365,365,2015-07-03,the car broken,13,
366,366,2015-06-21,the order completed,14,
367,367,2015-08-31,the order completed,15,
368,368,2015-08-29,the order completed,16,
369,369,2016-05-12,the order completed,17,
370,370,2016-02-11,the order completed,18,
371,371,2015-08-01,the order completed,1,
372,372,2016-01-12,the order completed,2,
373,373,2015-07-25,the order completed,3,
374,374,2015-07-05,the order completed,4,
375,375,2015-07-09,the order completed,5,
376,376,2015-07-23,the order completed,6,
377,377,2015-06-16,the order completed,7,
378,378,2015-08-11,the order completed,8,
379,379,2016-02-24,the order completed,9,
380,380,2015-08-04,the order completed,10,
381,381,2015-10-04,the order completed,11,
382,382,2016-03-23,the car broken,12,
383,383,2015-07-10,the order completed,13,
384,384,2016-04-20,the order completed,14,
385,385,2015-07-09,the order completed,15,
386,386,2015-06-24,the order completed,16,
387,387,2015-07-30,the order completed,17,
388,388,2015-07-22,the order completed,18,
389,389,2015-07-09,the order completed,1,
390,390,2016-01-17,the car broken,2,
391,391,2015-11-05,the order completed,3,
392,392,2016-02-20,the car broken,4,
393,393,2016-03-08,the order completed,5,
394,394,2017-01-17,the order completed,6,
395,395,2015-07-07,the order completed,7,
396,396,2015-07-08,the order completed,8,
397,397,2015-08-09,the order completed,1,
398,398,2015-07-12,the order completed,2,
399,399,2015-07-22,the order completed,3,
400,400,2015-07-18,the order completed,4,
401,401,2015-10-15,the order completed,5,
402,402,2015-08-19,the order completed,6,
403,403,2015-07-22,the car broken,7,
404,404,2016-04-20,the car broken,8,
405,405,2015-08-31,the car broken,9,
406,406,2015-10-02,the order completed,10,
407,407,2015-09-18,the order completed,11,
408,408,2015-12-14,the order completed,12,
409,409,2015-08-19,the order completed,13,
410,410,2015-08-23,the order completed,14,
411,411,2015-09-20,the order completed,15,
412,412,2015-12-10,the order completed,16,
413,413,2016-08-09,the order completed,17,
414,414,2015-08-13,the car broken,18,
415,415,2015-08-09,the order completed,1,
416,416,2016-03-10,the order completed,2,
417,417,2016-02-05,the car broken,3,
418,418,2015-12-10,the order completed,4,
419,419,2015-11-10,the order completed,5,
420,420,2015-09-27,the order completed,6,
421,421,2015-12-23,the car broken,7,
422,422,2015-08-27,the order completed,8,
423,423,2016-08-20,the order completed,9,
424,424,2015-10-24,the order completed,10,
425,425,2015-09-01,the order completed,11,
426,426,2015-11-17,the car broken,12,
427,427,2015-10-06,the order completed,13,
428,428,2015-09-21,the order completed,14,
429,429,2015-12-02,the car broken,15,
430,430,2015-09-16,the order completed,16,
431,431,2015-09-17,the order completed,17,
432,432,2015-09-19,the order completed,18,
433,433,2015-11-25,the car broken,1,
434,434,2017-01-24,the order completed,2,
435,435,2015-11-11,the order completed,3,
436,436,2016-06-23,the order completed,4,
437,437,2016-02-28,the order completed,5,
438,438,2015-11-13,the order completed,6,
439,439,2016-08-20,the order completed,7,
440,440,2015-09-27,the car broken,8,
441,441,2015-10-08,the order completed,1,
442,442,2015-11-30,the order completed,2,
443,443,2016-12-08,the order completed,3,
444,444,2015-10-05,the order completed,4,
445,445,2015-10-02,the car broken,5,
446,446,2015-10-18,the car broken,6,
447,447,2015-11-29,the order completed,7,
448,448,2015-10-05,the order completed,8,
449,449,2015-12-07,the order completed,9,
450,450,2017-04-19,the order completed,10,
451,451,2015-12-26,the order completed,11,
452,452,2017-01-15,the order completed,12,
453,453,2016-04-12,the order completed,13,
454,454,2015-10-14,the order completed,14,
455,455,2015-10-28,the car broken,15,
456,456,2015-10-15,the order completed,16,
457,457,2015-10-17,the car broken,17,
458,458,2016-08-08,the order completed,18,
459,459,2015-12-14,the car broken,1,
460,460,2015-12-24,the order completed,2,
461,461,2015-12-18,the order completed,3,
462,462,2015-10-18,the order completed,4,
463,463,2015-12-09,the order completed,5,
464,464,2016-06-28,the order completed,6,
465,465,2016-03-09,the order completed,7,
466,466,2016-01-22,the car broken,8,
467,467,2016-09-17,the order completed,9,
468,468,2016-01-24,the order completed,10,
469,469,2015-10-29,the order completed,11,
470,470,2015-11-03,the order completed,12,
471,471,2015-11-04,the order completed,13,
472,472,2016-01-15,the order completed,14,
473,473,2015-12-04,the order completed,15,
474,474,2016-01-23,the order completed,16,
475,475,2016-01-08,the car broken,17,
476,476,2015-11-26,the order completed,18,
477,477,2016-02-06,the order completed,1,
478,478,2015-11-16,the order completed,2,
479,479,2016-01-19,the order completed,3,
480,480,2015-11-23,the car broken,4,
481,481,2016-01-07,the order completed,5,
482,482,2016-04-18,the order completed,6,
483,483,2017-03-14,the order completed,7,
484,484,2016-05-08,the order completed,8,
485,485,2016-03-27,the car broken,1,
486,486,2015-12-25,the order completed,2,
487,487,2015-12-17,the order completed,3,
488,488,2016-08-09,the order completed,4,
489,489,2015-12-25,the order completed,5,
490,490,2016-09-24,the car broken,6,
491,491,2015-12-05,the car broken,7,
492,492,2015-12-02,the order completed,8,
493,493,2016-07-12,the order completed,9,
494,494,2015-12-08,the order completed,10,
495,495,2016-02-09,the order completed,11,
496,496,2016-05-08,the car broken,12,
497,497,2015-12-07,the order completed,13,
498,498,2016-04-13,the car broken,14,
499,499,2015-12-10,the car broken,15,
500,500,2017-05-26,the order completed,16,
501,501,2016-03-11,the order completed,17,
502,502,2015-12-12,the order completed,18,
503,503,2016-06-06,the order completed,1,
504,504,2015-12-28,the order completed,2,
505,505,2015-12-18,the order completed,3,
506,506,2016-01-16,the order completed,4,
507,507,2015-12-20,the order completed,5,
508,508,2016-08-03,the car broken,6,
509,509,2016-03-26,the order completed,7,
510,510,2016-07-01,the car broken,8,
511,511,2016-03-26,the car broken,9,
512,512,2016-06-25,the order completed,10,
513,513,2016-05-13,the order completed,11,
514,514,2016-03-21,the order completed,12,
515,515,2016-03-21,the order completed,13,
516,516,2016-09-03,the order completed,14,
517,517,2016-02-02,the order completed,15,
518,518,2016-08-08,the order completed,16,
519,519,2016-03-28,the order completed,17,
520,520,2016-01-25,the order completed,18,
521,521,2016-08-28,the car broken,1,
522,522,2016-01-25,the order completed,2,
523,523,2016-02-27,the order completed,3,
524,524,2016-01-25,the car broken,4,
525,525,2016-01-25,the order completed,5,
526,526,2016-09-12,the order completed,6,
527,527,2016-03-25,the order completed,7,
528,528,2017-02-25,the order completed,8,
529,529,2016-04-05,the order completed,1,
530,530,2016-11-29,the order completed,2,
531,531,2016-07-25,the order completed,3,
532,532,2016-02-12,the order completed,4,
533,533,2016-02-20,the order completed,5,
534,534,2016-03-19,the order completed,6,
535,535,2016-05-01,the order completed,7,
536,536,2016-03-01,the order completed,8,
537,537,2016-02-27,the order completed,9,
538,538,2016-09-16,the order completed,10,
539,539,2016-03-16,the order completed,11,
540,540,2016-02-29,the order completed,12,
541,541,2016-06-13,the order completed,13,
542,542,2017-01-07,the order completed,14,
543,543,2016-08-07,the order completed,15,
544,544,2016-12-20,the order completed,16,
545,545,2016-07-30,the order completed,17,
546,546,2019-05-03,the car broken,18,
547,547,2016-03-17,the order completed,1,
548,548,2016-08-29,the order completed,2,
549,549,2016-04-24,the order completed,3,
550,550,2016-03-22,the order completed,4,
551,551,2016-03-08,the order completed,5,
552,552,2016-10-01,the order completed,6,
553,553,2016-04-02,the order completed,7,
554,554,2016-03-09,the order completed,8,
555,555,2016-08-11,the order completed,9,
556,556,2016-09-11,the order completed,10,
557,557,2016-09-25,the car broken,11,
558,558,2016-04-09,the order completed,12,
559,559,2016-04-24,the order completed,13,
560,560,2016-03-17,the order completed,14,
561,561,2016-06-18,the order completed,15,
562,562,2016-07-19,the order completed,16,
563,563,2017-05-12,the car broken,17,
564,564,2016-09-02,the order completed,18,
565,565,2016-04-24,the order completed,1,
566,566,2016-04-02,the order completed,2,
567,567,2016-08-02,the order completed,3,
568,568,2016-05-27,the order completed,4,
569,569,2016-04-06,the order completed,5,
570,570,2017-10-20,the order completed,6,
571,571,2016-04-11,the order completed,7,
572,572,2017-05-23,the order completed,8,
573,573,2016-07-27,the order completed,1,
574,574,2017-12-09,the order completed,2,
575,575,2016-07-05,the order completed,3,
576,576,2016-04-19,the order completed,4,
577,577,2016-05-11,the order completed,5,
578,578,2016-04-20,the car broken,6,
579,579,2016-04-30,the order completed,7,
580,580,2016-07-29,the order completed,8,
581,581,2016-05-05,the order completed,9,
582,582,2016-04-29,the order completed,10,
583,583,2016-06-02,the order completed,11,
584,584,2016-11-30,the order completed,12,
585,585,2016-06-23,the order completed,13,
586,586,2016-11-04,the order completed,14,
587,587,2016-06-09,the order completed,15,
588,588,2016-05-14,the order completed,16,
589,589,2016-11-24,the car broken,17,
590,590,2016-12-01,the order completed,18,
591,591,2016-07-03,the order completed,1,
592,592,2016-11-26,the order completed,2,
593,593,2016-05-15,the order completed,3,
594,594,2016-06-29,the order completed,4,
595,595,2017-10-14,the order completed,5,
596,596,2020-04-20,the order completed,6,
597,597,2018-08-27,the car broken,7,
598,598,2016-08-01,the order completed,8,
599,599,2016-05-21,the car broken,9,
600,600,2017-02-07,the order completed,10,
601,601,2018-04-04,the order completed,11,
602,602,2016-06-15,the order completed,12,
603,603,2016-06-01,the order completed,13,
604,604,2016-05-31,the car broken,14,
605,605,2016-09-09,the order completed,15,
606,606,2016-06-10,the order completed,16,
607,607,2016-06-30,the order completed,17,
608,608,2016-06-05,the order completed,18,
609,609,2016-08-26,the car broken,1,
610,610,2017-07-21,the order completed,2,
611,611,2017-01-12,the order completed,3,
612,612,2016-07-22,the order completed,4,
613,613,2017-03-24,the order completed,5,
614,614,2016-11-24,the order completed,6,
615,615,2016-06-20,the order completed,7,
616,616,2016-08-30,the order completed,8,
617,617,2017-06-02,the order completed,1,
618,618,2016-07-09,the order completed,2,
619,619,2017-02-05,the order completed,3,
620,620,2016-12-07,the order completed,4,
621,621,2016-07-01,the order completed,5,
622,622,2017-08-23,the order completed,6,
623,623,2016-07-05,the order completed,7,
624,624,2016-07-20,the order completed,8,
625,625,2017-02-06,the car broken,9,
626,626,2016-07-11,the order completed,10,
627,627,2016-07-12,the car broken,11,
628,628,2016-07-12,the order completed,12,
629,629,2016-11-02,the order completed,13,
630,630,2016-07-15,the order completed,14,
631,631,2016-08-03,the order completed,15,
632,632,2016-11-04,the order completed,16,
633,633,2016-07-27,the order completed,17,
634,634,2016-07-27,the order completed,18,
635,635,2016-07-28,the order completed,1,
636,636,2016-09-11,the car broken,2,
637,637,2016-10-11,the order completed,3,
638,638,2016-08-15,the car broken,4,
639,639,2016-09-14,the order completed,5,
640,640,2016-08-01,the order completed,6,
641,641,2016-08-08,the order completed,7,
642,642,2016-08-02,the order completed,8,
643,643,2016-08-03,the order completed,9,
644,644,2017-10-23,the order completed,10,
645,645,2016-08-04,the order completed,11,
646,646,2016-12-14,the order completed,12,
647,647,2016-10-01,the order completed,13,
648,648,2016-10-09,the order completed,14,
649,649,2016-08-06,the order completed,15,
650,650,2016-08-09,the car broken,16,
651,651,2016-08-12,the order completed,17,
652,652,2016-11-16,the order completed,18,
653,653,2016-08-13,the car broken,1,
654,654,2017-03-25,the order completed,2,
655,655,2017-02-25,the car broken,3,
656,656,2016-12-11,the order completed,4,
657,657,2016-11-02,the order completed,5,
658,658,2016-08-18,the order completed,6,
659,659,2016-09-07,the car broken,7,
660,660,2016-08-20,the order completed,8,
661,661,2016-10-23,the order completed,1,
662,662,2017-04-01,the order completed,2,
663,663,2016-08-21,the order completed,3,
664,664,2016-09-13,the order completed,4,
665,665,2016-09-14,the order completed,5,
666,666,2017-01-17,the order completed,6,
667,667,2016-10-21,the order completed,7,
668,668,2017-08-30,the car broken,8,
669,669,2016-09-07,the order completed,9,
670,670,2017-05-12,the order completed,10,
671,671,2016-12-27,the order completed,11,
672,672,2016-09-20,the order completed,12,
673,673,2016-10-08,the order completed,13,
674,674,2016-09-08,the order completed,14,
675,675,2017-01-29,the car broken,15,
676,676,2016-11-11,the order completed,16,
677,677,2017-02-17,the car broken,17,
678,678,2016-09-07,the order completed,18,
679,679,2016-09-10,the order completed,1,
680,680,2016-10-31,the order completed,2,
681,681,2016-09-24,the order completed,3,
682,682,2016-09-24,the car broken,4,
683,683,2016-09-16,the order completed,5,
684,684,2016-10-04,the car broken,6,
685,685,2016-11-10,the car broken,7,
686,686,2016-11-22,the order completed,8,
687,687,2016-09-22,the car broken,9,
688,688,2017-01-16,the order completed,10,
689,689,2016-10-06,the order completed,11,
690,690,2016-10-14,the order completed,12,
691,691,2016-11-13,the order completed,13,
692,692,2016-10-02,the order completed,14,
693,693,2017-03-05,the order completed,15,
694,694,2016-11-05,the order completed,16,
695,695,2016-10-27,the car broken,17,
696,696,2016-10-03,the order completed,18,
697,697,2016-10-04,the car broken,1,
698,698,2018-08-07,the car broken,2,
699,699,2017-07-25,the order completed,3,
700,700,2018-10-23,the order completed,4,
701,701,2016-11-19,the order completed,5,
702,702,2018-10-15,the order completed,6,
703,703,2018-01-12,the car broken,7,
704,704,2016-12-28,the order completed,8,
705,705,2017-08-01,the order completed,1,
706,706,2017-04-21,the order completed,2,
707,707,2017-05-13,the order completed,3,
708,708,2017-05-28,the car broken,4,
709,709,2017-03-08,the order completed,5,
710,710,2017-02-23,the car broken,6,
711,711,2016-10-22,the order completed,7,
712,712,2016-10-20,the order completed,8,
713,713,2017-12-01,the order completed,9,
714,714,2016-10-28,the order completed,10,
715,715,2016-10-28,the order completed,11,
716,716,2016-12-16,the order completed,12,
717,717,2017-04-06,the order completed,13,
718,718,2016-12-06,the order completed,14,
719,719,2016-11-17,the order completed,15,
720,720,2017-09-06,the order completed,16,
721,721,2016-12-12,the order completed,17,
722,722,2016-11-17,the car broken,18,
723,723,2016-11-12,the order completed,1,
724,724,2017-07-22,the order completed,2,
725,725,2016-11-12,the order completed,3,
726,726,2016-11-12,the order completed,4,
727,727,2016-12-08,the order completed,5,
728,728,2017-09-18,the order completed,6,
729,729,2018-06-11,the order completed,7,
730,730,2017-02-10,the order completed,8,
731,731,2016-12-03,the car broken,9,
732,732,2017-09-23,the order completed,10,
733,733,2016-12-27,the order completed,11,
