rental ID,customer ID,car ID,rental begin date,predict finish date,actual finish date,rental payment,status
56,432,121,2014-02-13,2014-02-13,2014-06-02,304021,Broken
57,172,120,2014-02-14,2014-03-27,2014-03-22,2214,Done
58,106,2,2014-02-15,2014-03-02,2014-04-09,12900,Done
59,290,83,2014-02-15,2014-02-21,2014-04-06,230454,Broken
60,266,113,2014-02-21,2014-03-19,2014-09-03,104410,Done
61,132,129,2014-02-23,2014-03-07,2014-03-07,1380,Done
62,241,128,2014-02-24,2014-02-26,2014-02-24,330,Done
63,36,80,2014-02-28,2014-03-23,2014-05-17,216616,Broken
64,455,62,2014-03-02,2014-03-03,2014-10-02,83200,Done
65,444,178,2014-03-03,2014-04-29,2014-03-03,10146,Done
66,449,67,2014-03-04,2014-04-08,2014-09-29,53472,Done
67,8,178,2014-03-07,2014-04-02,2014-04-03,5162,Done
68,189,87,2014-03-11,2014-03-27,2014-05-09,13630,Done
69,77,59,2014-03-11,2014-03-11,2015-10-23,315594,Done
70,421,66,2014-03-11,2014-03-18,2014-07-14,29241,Done
71,296,9,2014-03-11,2014-03-29,2014-10-02,31266,Done
72,273,176,2014-03-14,2014-03-25,2014-03-14,1023,Done
73,22,4,2014-03-14,2014-04-04,2014-03-18,3360,Done
74,346,47,2014-03-15,2014-03-25,2015-04-26,202969,Done
75,378,1,2014-03-16,2014-03-26,2014-03-16,1830,Done
76,256,78,2014-03-18,2014-03-20,2019-12-23,1278613,Broken
77,16,84,2014-03-19,2014-04-01,2014-06-01,38612,Done
78,442,90,2014-03-21,2014-04-24,2014-03-21,429392,Broken
79,387,128,2014-03-22,2014-03-30,2014-03-24,1320,Done
80,55,4,2014-03-23,2014-05-01,2014-04-23,6240,Done
81,195,128,2014-03-25,2014-04-08,2014-03-25,131117,Broken
82,457,136,2014-03-25,2014-04-18,2014-03-25,2280,Done
83,498,151,2014-03-29,2014-04-23,2014-03-29,4600,Done
84,228,77,2014-03-30,2014-06-05,2014-03-31,7236,Done
85,282,82,2014-03-30,2014-04-01,2014-03-30,362,Done
86,354,129,2014-03-31,2014-04-27,2014-06-19,21390,Done
87,335,107,2014-03-31,2014-05-03,2014-04-18,190984,Broken
88,255,56,2014-04-02,2014-04-13,2014-04-02,1012,Done
89,488,118,2014-04-06,2014-04-22,2014-10-15,104992,Done
90,441,77,2014-04-07,2014-04-07,2015-07-20,591081,Broken
91,410,41,2014-04-11,2014-04-26,2014-04-18,2820,Done
92,139,119,2014-04-12,2014-04-13,2014-05-11,9945,Done
93,108,199,2014-04-13,2014-06-05,2014-06-23,12626,Done
94,461,161,2014-04-17,2014-04-22,2014-08-24,72384,Done
95,399,71,2014-04-23,2014-06-06,2014-11-22,79344,Done
96,291,26,2014-04-23,2014-05-01,2014-09-06,41160,Done
97,68,82,2014-04-24,2014-04-26,2014-07-07,39458,Done
98,272,134,2014-04-27,2014-06-29,2014-04-27,12537,Done
99,177,130,2014-04-28,2014-05-23,2014-04-28,1775,Done
100,67,141,2014-04-29,2014-05-15,2016-12-03,377210,Done
101,177,147,2014-05-01,2014-05-16,2015-07-08,221029,Broken
102,123,6,2014-05-02,2014-05-06,2014-05-12,3410,Done
103,375,192,2014-05-05,2014-07-09,2014-07-18,9200,Done
104,98,107,2014-05-07,2014-05-11,2014-05-07,484,Done
105,439,53,2014-05-07,2014-05-30,2014-05-07,4416,Done
106,360,53,2014-05-08,2014-06-30,2015-02-25,148416,Done
107,147,135,2014-05-12,2014-05-12,2014-10-28,87204,Done
108,12,49,2014-05-15,2014-06-24,2014-09-13,46978,Done
109,243,32,2014-05-16,2014-07-07,2014-05-16,4056,Done
110,206,120,2014-05-16,2014-05-16,2015-08-01,71604,Done
111,299,36,2014-05-20,2014-05-21,2014-07-14,11247,Done
112,488,139,2014-05-20,2014-06-12,2014-05-20,2001,Done
113,392,162,2014-05-20,2014-05-28,2014-09-06,57224,Done
114,143,6,2014-05-21,2014-05-30,2014-07-07,19065,Done
115,58,90,2014-05-23,2014-06-06,2015-01-24,109340,Done
116,400,73,2014-05-24,2014-07-04,2015-03-10,66980,Done
117,15,126,2014-05-27,2014-05-28,2014-05-27,246051,Broken
118,398,83,2014-05-28,2014-07-27,2014-07-10,223590,Broken
119,44,42,2014-05-31,2014-06-24,2014-05-31,180096,Broken
120,205,179,2014-06-02,2014-07-09,2014-08-23,25800,Done
121,268,134,2014-06-06,2014-08-03,2014-07-26,11542,Done
122,450,81,2014-06-07,2014-08-05,2014-07-16,266602,Broken
123,267,126,2014-06-18,2014-06-23,2015-01-23,36879,Done
124,368,48,2014-06-23,2014-08-03,2014-08-01,7585,Done
125,88,2,2014-06-24,2014-06-25,2014-06-30,441102,Broken
126,44,105,2014-06-24,2014-08-31,2015-05-19,91057,Done
127,318,52,2014-06-25,2014-07-22,2014-07-08,4050,Done
128,92,108,2014-06-26,2014-06-26,2014-06-27,475898,Broken
129,354,18,2014-06-26,2014-06-27,2014-06-26,126527,Broken
130,411,194,2014-06-29,2014-07-13,2016-01-11,120815,Done
131,96,158,2014-06-30,2014-08-11,2015-01-18,441417,Broken
132,109,80,2014-06-30,2014-07-02,2014-08-05,6032,Done
133,154,15,2014-07-02,2014-07-12,2014-11-04,24140,Done
134,14,74,2014-07-03,2014-08-25,2014-09-16,7497,Done
135,127,173,2014-07-06,2014-07-21,2014-07-06,1020,Done
136,173,64,2014-07-08,2014-07-21,2014-07-14,1326,Done
137,141,52,2014-07-15,2014-08-26,2015-06-12,392359,Broken
138,124,64,2014-07-16,2014-08-24,2014-07-16,3978,Done
139,415,82,2014-07-16,2014-07-29,2014-07-16,2353,Done
140,464,119,2014-07-17,2014-07-27,2015-06-16,114894,Done
141,378,146,2014-07-22,2014-07-23,2014-09-07,11537,Done
142,142,166,2014-07-23,2014-08-01,2014-07-23,424298,Broken
143,165,56,2014-07-23,2014-09-07,2015-05-22,75164,Done
144,145,88,2014-07-23,2014-08-04,2015-12-28,363635,Broken
145,140,100,2014-07-26,2014-09-04,2014-07-26,277277,Broken
146,478,5,2014-07-26,2014-08-15,2014-10-09,14060,Done
147,88,64,2014-07-29,2014-09-08,2014-12-14,33864,Done
148,41,153,2014-07-30,2014-07-30,2014-07-30,0,Cancelled
149,332,84,2014-07-30,2014-08-13,2014-10-31,49447,Done
150,216,200,2014-07-31,2014-08-03,2015-03-20,91080,Done
151,450,199,2014-08-02,2014-09-15,2014-08-02,227185,Broken
152,372,57,2014-08-03,2014-10-02,2014-08-03,8940,Done
153,307,28,2014-08-03,2014-09-26,2014-09-21,8100,Done
154,374,180,2014-08-03,2014-08-22,2014-09-03,3685,Done
155,483,150,2014-08-04,2014-08-05,2014-08-08,1000,Done
156,470,66,2014-08-05,2014-08-06,2014-10-21,18549,Done
157,114,167,2014-08-07,2014-09-26,2015-07-11,180058,Done
158,473,76,2014-08-08,2014-08-18,2014-09-12,4930,Done
159,321,8,2014-08-10,2014-09-04,2015-10-04,153670,Done
160,104,81,2014-08-13,2014-10-11,2014-09-25,266602,Broken
161,24,186,2014-08-14,2014-08-15,2014-12-12,17900,Done
162,74,185,2014-08-16,2014-09-01,2015-03-31,112277,Done
163,462,83,2014-08-16,2014-08-17,2015-06-14,297862,Broken
164,451,89,2014-08-19,2014-08-25,2015-04-27,38532,Done
165,451,130,2014-08-24,2014-09-21,2014-08-27,1988,Done
166,392,29,2014-08-24,2014-08-28,2014-09-22,241206,Broken
167,210,178,2014-08-26,2014-09-17,2014-09-27,9256,Done
168,187,13,2014-08-26,2014-09-16,2014-08-26,2667,Done
169,452,130,2014-08-28,2014-10-16,2014-09-05,3479,Done
170,434,127,2014-08-29,2014-09-08,2014-09-16,409401,Broken
171,41,191,2014-08-30,2014-10-03,2014-12-11,46754,Done
172,147,86,2014-08-31,2014-09-28,2015-10-27,113740,Done
173,325,2,2014-09-03,2014-09-07,2014-09-05,400,Done
174,99,188,2014-09-04,2014-11-05,2014-09-22,6262,Done
175,43,132,2014-09-04,2014-11-02,2014-09-05,10797,Done
176,131,174,2014-09-07,2014-09-07,2014-09-07,0,Cancelled
177,6,2,2014-09-09,2014-11-02,2014-09-10,444902,Broken
178,392,80,2014-09-11,2014-09-19,2014-09-11,464,Done
179,121,46,2014-09-11,2014-09-19,2015-01-05,193911,Broken
180,475,139,2014-09-13,2014-09-15,2014-11-12,287242,Broken
181,255,189,2014-09-14,2014-09-20,2015-06-24,58590,Done
182,202,30,2014-09-14,2014-11-11,2014-09-26,11252,Done
183,291,16,2014-09-15,2014-10-13,2014-10-21,8840,Done
184,90,110,2014-09-16,2014-10-31,2014-09-16,5310,Done
185,58,151,2014-09-20,2014-10-18,2014-12-14,36616,Done
186,145,92,2014-09-21,2014-10-22,2014-09-23,2418,Done
187,142,121,2014-09-22,2014-10-25,2014-11-11,10500,Done
188,423,113,2014-09-22,2014-09-26,2015-07-08,169223,Done
189,424,179,2014-09-23,2014-09-27,2014-09-27,600,Done
190,89,188,2014-09-24,2014-10-20,2016-11-01,227755,Done
191,168,29,2014-09-25,2014-10-14,2014-10-10,3458,Done
192,275,32,2014-09-27,2014-09-30,2014-10-10,2574,Done
193,188,98,2014-09-28,2014-09-29,2014-12-31,169226,Broken
194,418,28,2014-09-28,2014-11-12,2014-10-07,6750,Done
195,100,31,2014-09-30,2014-10-08,2014-11-15,20984,Done
196,336,132,2014-10-02,2014-10-05,2014-12-07,35136,Done
197,104,57,2014-10-03,2014-10-14,2014-11-06,11920,Done
198,162,131,2014-10-05,2014-10-09,2014-10-05,264,Done
199,67,92,2014-10-05,2014-10-27,2015-01-01,17160,Done
200,476,179,2014-10-07,2014-10-23,2015-08-02,129750,Done
201,187,143,2014-10-10,2014-11-01,2014-11-17,9380,Done
202,195,29,2014-10-11,2014-10-25,2014-10-26,229922,Broken
203,314,80,2014-10-15,2014-11-05,2014-12-08,6960,Done
204,55,81,2014-10-16,2014-11-13,2014-10-16,2828,Done
205,112,60,2014-10-18,2014-10-29,2014-11-03,1768,Done
206,441,11,2014-10-18,2014-11-12,2014-10-18,2750,Done
207,219,75,2014-10-19,2014-11-23,2014-10-19,2170,Done
208,180,102,2014-10-20,2014-12-13,2015-02-16,30876,Done
209,270,21,2014-10-20,2014-11-20,2014-11-12,3658,Done
210,229,134,2014-10-21,2014-11-06,2015-06-04,128554,Done
211,155,4,2014-10-23,2014-11-21,2015-01-26,36320,Done
212,126,144,2014-10-25,2014-10-26,2015-01-15,23912,Done
213,150,2,2014-10-26,2014-11-09,2014-12-21,14000,Done
214,103,137,2014-10-26,2014-12-16,2015-01-23,11880,Done
215,180,150,2014-10-30,2014-11-20,2014-11-24,3300,Done
216,225,129,2014-10-31,2014-11-16,2015-03-03,38755,Done
217,19,103,2014-10-31,2014-11-19,2014-10-31,3762,Done
218,410,161,2014-11-01,2014-11-13,2015-07-22,146880,Done
219,131,24,2014-11-02,2014-11-10,2015-02-28,33462,Done
220,327,84,2014-11-04,2014-12-11,2015-03-21,66389,Done
221,26,39,2014-11-06,2015-01-03,2014-12-04,11252,Done
222,409,183,2014-11-07,2014-12-08,2014-12-07,2821,Done
223,296,153,2014-11-08,2014-11-20,2015-01-20,32955,Done
224,428,85,2014-11-13,2014-12-14,2015-05-06,34040,Done
225,41,131,2014-11-14,2014-12-17,2015-04-14,25542,Done
226,455,118,2014-11-15,2014-12-20,2015-08-07,139925,Done
227,77,76,2014-11-19,2014-12-05,2015-02-18,13978,Done
228,384,51,2014-11-21,2015-01-12,2014-11-21,134723,Broken
229,357,104,2014-11-22,2014-12-30,2015-05-27,76156,Done
230,428,68,2014-11-23,2014-12-23,2014-12-09,1860,Done
231,39,30,2014-11-25,2014-12-03,2015-02-28,52186,Done
232,248,145,2014-11-25,2014-11-26,2014-12-13,5460,Done
233,231,40,2014-11-27,2014-12-18,2017-08-11,333108,Done
234,357,41,2014-11-28,2014-12-21,2015-04-15,69184,Done
235,300,198,2014-11-29,2014-11-29,2014-11-29,0,Cancelled
236,362,62,2014-12-01,2014-12-07,2014-12-01,455018,Broken
237,148,101,2014-12-03,2014-12-06,2015-08-05,58320,Done
238,19,183,2014-12-08,2014-12-20,2014-12-08,1092,Done
239,470,80,2014-12-09,2014-12-30,2015-02-06,7830,Done
240,145,96,2014-12-09,2015-02-10,2014-12-14,3591,Done
241,401,94,2014-12-10,2014-12-24,2017-08-14,374874,Done
242,162,135,2014-12-11,2014-12-18,2016-07-30,305644,Done
243,52,57,2014-12-12,2015-01-07,2015-01-03,3874,Done
244,81,39,2014-12-14,2014-12-15,2015-11-28,202730,Done
245,146,122,2014-12-14,2015-01-31,2015-01-26,5664,Done
246,23,106,2014-12-17,2015-02-17,2014-12-17,6882,Done
247,44,108,2014-12-20,2015-01-14,2014-12-20,3200,Done
248,434,35,2014-12-21,2015-01-30,2014-12-21,375873,Broken
249,479,108,2014-12-23,2014-12-30,2015-01-09,4736,Done
250,251,17,2014-12-24,2014-12-30,2015-02-01,139093,Broken
251,127,12,2014-12-24,2015-01-10,2014-12-29,2618,Done
252,407,142,2014-12-27,2014-12-27,2015-05-10,76380,Done
253,391,145,2014-12-28,2015-01-04,2015-07-05,58065,Done
254,449,139,2014-12-30,2014-12-31,2015-06-21,316909,Broken
255,65,6,2015-01-01,2015-02-04,2015-04-27,43400,Done
256,70,12,2015-01-01,2015-01-04,2015-03-19,34650,Done
257,287,190,2015-01-01,2015-01-09,2015-02-21,19728,Done
258,499,10,2015-01-02,2015-01-13,2015-10-10,107551,Done
259,211,82,2015-01-02,2015-01-13,2015-01-08,1991,Done
260,172,49,2015-01-03,2015-01-19,2015-01-12,2656,Done
261,402,95,2015-01-06,2015-03-12,2015-02-03,3380,Done
262,363,121,2015-01-09,2015-02-16,2015-04-14,26125,Done
263,138,196,2015-01-10,2015-01-15,2015-01-13,520,Done
264,365,127,2015-01-10,2015-03-09,2015-01-10,413889,Broken
265,6,37,2015-01-11,2015-03-11,2015-11-26,132562,Done
266,52,49,2015-01-14,2015-02-12,2015-01-14,4814,Done
267,70,178,2015-01-16,2015-02-09,2015-01-16,4272,Done
268,259,136,2015-01-16,2015-02-13,2015-03-04,8075,Done
269,312,110,2015-01-18,2015-02-26,2015-04-27,25842,Done
270,396,108,2015-01-19,2015-01-27,2015-09-29,95104,Done
271,361,171,2015-01-20,2015-01-31,2015-02-06,4959,Done
272,346,5,2015-01-20,2015-01-30,2015-09-10,51604,Done
273,44,26,2015-01-26,2015-01-30,2016-01-13,110040,Done
274,29,196,2015-01-26,2015-02-11,2015-02-03,1664,Done
275,472,152,2015-01-27,2015-02-06,2015-05-29,48440,Done
276,99,29,2015-01-27,2015-02-12,2015-03-20,22568,Done
277,291,132,2015-01-27,2015-01-31,2015-08-15,472289,Broken
278,36,99,2015-01-28,2015-02-07,2015-08-19,57722,Done
279,131,82,2015-01-29,2015-02-25,2015-05-05,42354,Done
280,278,199,2015-01-30,2015-02-10,2015-02-06,1298,Done
281,55,106,2015-01-30,2015-02-05,2015-04-02,19314,Done
282,307,191,2015-01-30,2015-03-24,2015-03-20,10282,Done
283,48,143,2015-02-06,2015-03-11,2015-02-06,4422,Done
284,359,68,2015-02-07,2015-02-09,2015-07-04,27094,Done
285,332,18,2015-02-10,2015-04-06,2015-02-10,9020,Done
286,341,80,2015-02-11,2015-04-01,2015-11-24,44080,Done
287,431,92,2015-02-11,2015-02-20,2015-04-20,14508,Done
288,437,57,2015-02-12,2015-02-14,2016-05-08,201001,Done
289,442,144,2015-02-12,2015-03-26,2015-02-12,4116,Done
290,127,2,2015-02-16,2015-02-23,2015-06-08,32200,Done
291,57,90,2015-02-16,2015-03-13,2015-02-16,3850,Done
292,460,196,2015-02-16,2015-04-07,2015-03-11,5200,Done
293,49,171,2015-02-19,2015-04-10,2015-07-15,388013,Broken
294,106,87,2015-02-19,2015-03-19,2015-02-19,2632,Done
295,414,181,2015-02-20,2015-03-19,2015-03-18,3699,Done
296,279,174,2015-02-22,2015-03-10,2015-02-22,2288,Done
297,58,198,2015-02-24,2015-03-03,2015-02-24,651,Done
298,407,42,2015-02-24,2015-02-28,2015-09-17,53416,Done
299,190,22,2015-02-25,2015-04-05,2015-03-15,6513,Done
300,251,28,2015-02-26,2015-03-21,2015-04-09,12000,Done
301,241,140,2015-02-26,2015-03-09,2015-07-19,44363,Done
302,108,143,2015-03-02,2015-03-04,2015-03-03,268,Done
303,392,95,2015-03-07,2015-04-01,2016-12-25,100204,Done
304,494,71,2015-03-12,2015-03-15,2015-03-12,432,Done
305,249,32,2015-03-17,2015-03-20,2016-04-05,418886,Broken
306,82,124,2015-03-17,2015-04-08,2015-08-04,66176,Done
307,48,36,2015-03-17,2015-03-28,2015-07-14,23115,Done
308,229,76,2015-03-18,2015-03-26,2015-03-18,464,Done
309,1,14,2015-03-19,2015-03-19,2015-04-27,11349,Done
310,286,156,2015-03-19,2015-05-11,2015-03-19,6572,Done
311,302,143,2015-03-19,2015-03-25,2015-04-02,4020,Done
312,242,165,2015-03-19,2015-03-25,2015-05-17,31185,Done
313,41,60,2015-03-23,2015-04-30,2016-08-29,472767,Broken
314,495,155,2015-03-24,2015-03-24,2015-04-11,260931,Broken
315,29,90,2015-03-26,2015-04-04,2015-05-12,18942,Done
316,96,150,2015-03-26,2015-05-02,2015-03-26,3700,Done
317,155,62,2015-03-26,2015-05-04,2015-03-26,5070,Done
318,387,49,2015-03-27,2015-03-28,2015-07-01,506964,Broken
319,342,164,2015-03-30,2015-04-01,2015-05-21,20368,Done
320,241,182,2015-03-31,2015-04-02,2015-04-07,1921,Done
321,403,130,2015-04-02,2015-05-22,2015-07-20,16117,Done
322,294,53,2015-04-03,2015-06-14,2015-10-12,82944,Done
323,384,33,2015-04-04,2015-05-01,2015-05-11,2964,Done
324,163,186,2015-04-05,2015-06-06,2015-04-05,3100,Done
325,57,13,2015-04-06,2015-05-17,2015-04-07,5207,Done
326,255,153,2015-04-06,2015-04-12,2015-04-28,9126,Done
327,140,13,2015-04-08,2015-04-24,2015-05-19,11557,Done
328,126,66,2015-04-09,2015-04-23,2015-09-16,36612,Done
329,1,28,2015-04-10,2015-04-26,2015-04-10,2400,Done
330,295,25,2015-04-12,2015-05-04,2015-07-08,16492,Done
331,329,191,2015-04-13,2015-04-15,2015-04-13,339906,Broken
332,280,155,2015-04-24,2015-06-06,2015-05-04,5504,Done
333,343,96,2015-04-26,2015-05-17,2015-04-27,1197,Done
334,210,76,2015-04-27,2015-05-14,2015-06-08,5336,Done
335,183,89,2015-04-28,2015-06-19,2015-05-13,2704,Done
336,7,48,2015-04-29,2015-05-03,2015-04-29,740,Done
337,254,159,2015-04-29,2015-05-11,2015-04-29,184010,Broken
338,183,22,2015-04-29,2015-05-31,2015-09-17,59953,Done
339,293,24,2015-05-01,2015-06-21,2015-06-08,5049,Done
340,2,46,2015-05-02,2015-05-18,2015-11-24,55670,Done
341,363,9,2015-05-02,2015-05-04,2015-05-05,270,Done
342,386,6,2015-05-05,2015-05-08,2016-06-14,187860,Done
343,357,143,2015-05-06,2015-05-25,2015-05-06,128970,Broken
344,166,31,2015-05-07,2015-05-25,2015-05-07,199887,Broken
345,339,16,2015-05-07,2015-05-23,2015-09-02,539820,Broken
346,268,153,2015-05-08,2015-06-09,2015-11-15,86021,Done
347,195,67,2015-05-09,2015-05-18,2015-10-16,44352,Done
348,114,125,2015-05-09,2015-05-18,2015-08-16,440704,Broken
349,290,181,2015-05-10,2015-05-12,2015-06-27,19180,Done
350,155,12,2015-05-11,2015-06-22,2015-06-16,6468,Done
351,280,9,2015-05-11,2015-05-15,2015-06-04,3456,Done
352,79,34,2015-05-13,2015-05-20,2015-06-26,18998,Done
353,310,180,2015-05-15,2015-07-09,2016-06-13,322226,Broken
354,454,121,2015-05-15,2015-06-20,2015-11-30,65625,Done
355,57,149,2015-05-17,2015-06-03,2015-08-15,29972,Done
356,172,155,2015-05-20,2015-05-22,2017-11-24,352384,Done
357,384,182,2015-05-20,2015-06-03,2015-06-18,6667,Done
358,493,3,2015-05-20,2015-06-25,2015-09-19,18522,Done
359,421,84,2015-05-21,2015-06-04,2015-06-11,6895,Done
360,280,64,2015-05-22,2015-06-25,2017-05-11,213384,Done
361,340,96,2015-05-28,2015-06-02,2015-10-14,23199,Done
362,436,128,2015-05-28,2015-06-04,2015-05-31,129962,Broken
363,271,174,2015-05-29,2015-08-10,2015-07-15,10439,Done
364,237,56,2015-05-30,2015-06-08,2015-06-12,403811,Broken
365,391,146,2015-06-01,2015-06-29,2015-07-03,268634,Broken
366,428,33,2015-06-02,2015-06-08,2015-06-21,2340,Done
367,295,21,2015-06-02,2015-07-07,2015-08-31,23600,Done
368,258,114,2015-06-04,2015-06-08,2015-08-29,39500,Done
369,270,90,2015-06-04,2015-06-06,2016-05-12,157850,Done
370,33,14,2015-06-09,2015-06-20,2016-02-11,69743,Done
371,433,82,2015-06-10,2015-06-26,2015-08-01,22444,Done
372,148,29,2015-06-12,2015-07-09,2016-01-12,107016,Done
373,84,65,2015-06-14,2015-06-22,2015-07-25,16799,Done
374,185,85,2015-06-14,2015-07-17,2015-07-05,2442,Done
375,330,105,2015-06-15,2015-08-16,2015-07-09,6634,Done
376,213,98,2015-06-16,2015-07-26,2015-07-23,4720,Done
377,121,79,2015-06-16,2015-07-29,2015-06-16,7654,Done
378,379,91,2015-06-17,2015-07-05,2015-08-11,24768,Done
379,292,112,2015-06-17,2015-06-17,2016-02-24,80892,Done
380,500,170,2015-06-20,2015-07-17,2015-08-04,6156,Done
381,499,136,2015-06-20,2015-07-10,2015-10-04,26410,Done
382,192,73,2015-06-21,2015-06-22,2016-03-23,362292,Broken
383,242,165,2015-06-21,2015-06-22,2015-07-10,10395,Done
384,71,15,2015-06-22,2015-08-30,2016-04-20,52428,Done
385,62,76,2015-06-23,2015-06-27,2015-07-09,2320,Done
386,28,117,2015-06-24,2015-08-08,2015-06-24,5805,Done
387,33,160,2015-06-28,2015-08-01,2015-07-30,3842,Done
388,150,12,2015-06-29,2015-07-22,2015-07-22,3542,Done
389,197,24,2015-07-01,2015-07-18,2015-07-09,1683,Done
390,195,173,2015-07-03,2015-07-24,2016-01-17,505286,Broken
391,452,152,2015-07-03,2015-07-21,2015-11-05,47460,Done
392,320,123,2015-07-03,2015-07-23,2016-02-20,506041,Broken
393,270,150,2015-07-04,2015-07-06,2016-03-08,74000,Done
394,242,162,2015-07-06,2015-07-18,2017-01-17,305256,Done
395,411,9,2015-07-07,2015-08-29,2015-07-07,2862,Done
396,31,175,2015-07-08,2015-07-24,2015-07-08,1408,Done
397,31,110,2015-07-08,2015-07-26,2015-08-09,7080,Done
398,294,172,2015-07-12,2015-07-15,2015-07-12,405,Done
399,380,84,2015-07-13,2015-09-05,2015-07-22,10638,Done
400,207,24,2015-07-18,2015-07-31,2015-07-18,1287,Done
401,492,45,2015-07-19,2015-07-26,2015-10-15,13750,Done
402,377,49,2015-07-21,2015-08-16,2015-08-19,5810,Done
403,134,171,2015-07-22,2015-09-19,2015-07-22,340304,Broken
404,226,181,2015-07-23,2015-09-04,2016-04-20,250356,Broken
405,210,13,2015-07-27,2015-08-07,2015-08-31,315208,Broken
406,500,76,2015-07-28,2015-08-16,2015-10-02,9280,Done
407,290,56,2015-07-31,2015-08-19,2015-09-18,10028,Done
408,460,174,2015-08-01,2015-08-19,2015-12-14,52767,Done
409,27,171,2015-08-01,2015-08-19,2015-08-19,3078,Done
410,267,193,2015-08-04,2015-09-03,2015-08-23,2700,Done
411,107,122,2015-08-04,2015-08-09,2015-09-20,15458,Done
412,124,145,2015-08-05,2015-10-02,2015-12-10,27825,Done
413,467,17,2015-08-06,2015-09-03,2016-08-09,181823,Done
414,446,158,2015-08-09,2015-08-15,2015-08-13,338217,Broken
415,67,84,2015-08-09,2015-09-01,2015-08-09,4531,Done
416,6,33,2015-08-12,2015-08-24,2016-03-10,31668,Done
417,248,192,2015-08-12,2015-08-30,2016-02-05,383418,Broken
418,485,168,2015-08-22,2015-10-09,2015-12-10,25038,Done
419,204,140,2015-08-24,2015-09-03,2015-11-10,23326,Done
420,102,20,2015-08-24,2015-09-03,2015-09-27,9020,Done
