rental ID,customer ID,car ID,rental begin date,predict finish date,actual finish date,rental fee,status
275,472,152,2015-01-27,2015-02-06,2015-05-29,48440.00,Completed
276,99,29,2015-01-27,2015-02-12,2015-03-20,22568.00,Completed
277,291,132,2015-01-27,2015-01-31,2015-08-15,472289.00,Completed
278,36,99,2015-01-28,2015-02-07,2015-08-19,57722.00,Completed
279,131,82,2015-01-29,2015-02-25,2015-05-05,42354.00,Completed
280,278,199,2015-01-30,2015-02-10,2015-02-06,1298.00,Completed
281,55,106,2015-01-30,2015-02-05,2015-04-02,19314.00,Completed
282,307,191,2015-01-30,2015-03-24,2015-03-20,10282.00,Completed
283,48,143,2015-02-06,2015-03-11,2015-02-06,4422.00,Completed
284,359,68,2015-02-07,2015-02-09,2015-07-04,27094.00,Completed
285,332,18,2015-02-10,2015-04-06,2015-02-10,9020.00,Completed
286,341,80,2015-02-11,2015-04-01,2015-11-24,44080.00,Completed
287,431,92,2015-02-11,2015-02-20,2015-04-20,14508.00,Completed
288,437,57,2015-02-12,2015-02-14,2016-05-08,201001.00,Completed
289,442,144,2015-02-12,2015-03-26,2015-02-12,4116.00,Completed
290,127,2,2015-02-16,2015-02-23,2015-06-08,32200.00,Completed
291,57,90,2015-02-16,2015-03-13,2015-02-16,3850.00,Completed
292,460,196,2015-02-16,2015-04-07,2015-03-11,5200.00,Completed
293,49,171,2015-02-19,2015-04-10,2015-07-15,388013.00,Completed
294,106,87,2015-02-19,2015-03-19,2015-02-19,2632.00,Completed
295,414,181,2015-02-20,2015-03-19,2015-03-18,3699.00,Completed
296,279,174,2015-02-22,2015-03-10,2015-02-22,2288.00,Completed
297,58,198,2015-02-24,2015-03-03,2015-02-24,651.00,Completed
298,407,42,2015-02-24,2015-02-28,2015-09-17,53416.00,Completed
299,190,22,2015-02-25,2015-04-05,2015-03-15,6513.00,Completed
300,251,28,2015-02-26,2015-03-21,2015-04-09,12000.00,Completed
301,241,140,2015-02-26,2015-03-09,2015-07-19,44363.00,Completed
302,108,143,2015-03-02,2015-03-04,2015-03-03,268.00,Completed
303,392,95,2015-03-07,2015-04-01,2016-12-25,100204.00,Completed
304,494,71,2015-03-12,2015-03-15,2015-03-12,432.00,Completed
305,249,32,2015-03-17,2015-03-20,2016-04-05,418886.00,Completed
306,82,124,2015-03-17,2015-04-08,2015-08-04,66176.00,Completed
307,48,36,2015-03-17,2015-03-28,2015-07-14,23115.00,Completed
308,229,76,2015-03-18,2015-03-26,2015-03-18,464.00,Completed
309,1,14,2015-03-19,2015-03-19,2015-04-27,11349.00,Completed
310,286,156,2015-03-19,2015-05-11,2015-03-19,6572.00,Completed
311,302,143,2015-03-19,2015-03-25,2015-04-02,4020.00,Completed
312,242,165,2015-03-19,2015-03-25,2015-05-17,31185.00,Completed
313,41,60,2015-03-23,2015-04-30,2016-08-29,472767.00,Completed
314,495,155,2015-03-24,2015-03-24,2015-04-11,260931.00,Completed
315,29,90,2015-03-26,2015-04-04,2015-05-12,18942.00,Completed
316,96,150,2015-03-26,2015-05-02,2015-03-26,3700.00,Completed
317,155,62,2015-03-26,2015-05-04,2015-03-26,5070.00,Completed
318,387,49,2015-03-27,2015-03-28,2015-07-01,506964.00,Completed
319,342,164,2015-03-30,2015-04-01,2015-05-21,20368.00,Completed
320,241,182,2015-03-31,2015-04-02,2015-04-07,1921.00,Completed
321,403,130,2015-04-02,2015-05-22,2015-07-20,16117.00,Completed
322,294,53,2015-04-03,2015-06-14,2015-10-12,82944.00,Completed
323,384,33,2015-04-04,2015-05-01,2015-05-11,2964.00,Completed
324,163,186,2015-04-05,2015-06-06,2015-04-05,3100.00,Completed
325,57,13,2015-04-06,2015-05-17,2015-04-07,5207.00,Completed
326,255,153,2015-04-06,2015-04-12,2015-04-28,9126.00,Completed
327,140,13,2015-04-08,2015-04-24,2015-05-19,11557.00,Completed
328,126,66,2015-04-09,2015-04-23,2015-09-16,36612.00,Completed
329,1,28,2015-04-10,2015-04-26,2015-04-10,2400.00,Completed
330,295,25,2015-04-12,2015-05-04,2015-07-08,16492.00,Completed
331,329,191,2015-04-13,2015-04-15,2015-04-13,339906.00,Completed
332,280,155,2015-04-24,2015-06-06,2015-05-04,5504.00,Completed
333,343,96,2015-04-26,2015-05-17,2015-04-27,1197.00,Completed
334,210,76,2015-04-27,2015-05-14,2015-06-08,5336.00,Completed
335,183,89,2015-04-28,2015-06-19,2015-05-13,2704.00,Completed
336,7,48,2015-04-29,2015-05-03,2015-04-29,740.00,Completed
337,254,159,2015-04-29,2015-05-11,2015-04-29,184010.00,Completed
338,183,22,2015-04-29,2015-05-31,2015-09-17,59953.00,Completed
339,293,24,2015-05-01,2015-06-21,2015-06-08,5049.00,Completed
340,2,46,2015-05-02,2015-05-18,2015-11-24,55670.00,Completed
341,363,9,2015-05-02,2015-05-04,2015-05-05,270.00,Completed
342,386,6,2015-05-05,2015-05-08,2016-06-14,187860.00,Completed
343,357,143,2015-05-06,2015-05-25,2015-05-06,128970.00,Completed
344,166,31,2015-05-07,2015-05-25,2015-05-07,199887.00,Completed
345,339,16,2015-05-07,2015-05-23,2015-09-02,539820.00,Completed
346,268,153,2015-05-08,2015-06-09,2015-11-15,86021.00,Completed
347,195,67,2015-05-09,2015-05-18,2015-10-16,44352.00,Completed
348,114,125,2015-05-09,2015-05-18,2015-08-16,440704.00,Completed
349,290,181,2015-05-10,2015-05-12,2015-06-27,19180.00,Completed
350,155,12,2015-05-11,2015-06-22,2015-06-16,6468.00,Completed
351,280,9,2015-05-11,2015-05-15,2015-06-04,3456.00,Completed
352,79,34,2015-05-13,2015-05-20,2015-06-26,18998.00,Completed
353,310,180,2015-05-15,2015-07-09,2016-06-13,322226.00,Completed
354,454,121,2015-05-15,2015-06-20,2015-11-30,65625.00,Completed
355,57,149,2015-05-17,2015-06-03,2015-08-15,29972.00,Completed
356,172,155,2015-05-20,2015-05-22,2017-11-24,352384.00,Completed
357,384,182,2015-05-20,2015-06-03,2015-06-18,6667.00,Completed
358,493,3,2015-05-20,2015-06-25,2015-09-19,18522.00,Completed
359,421,84,2015-05-21,2015-06-04,2015-06-11,6895.00,Completed
360,280,64,2015-05-22,2015-06-25,2017-05-11,213384.00,Completed
361,340,96,2015-05-28,2015-06-02,2015-10-14,23199.00,Completed
362,436,128,2015-05-28,2015-06-04,2015-05-31,129962.00,Completed
363,271,174,2015-05-29,2015-08-10,2015-07-15,10439.00,Completed
364,237,56,2015-05-30,2015-06-08,2015-06-12,403811.00,Completed
365,391,146,2015-06-01,2015-06-29,2015-07-03,268634.00,Completed
366,428,33,2015-06-02,2015-06-08,2015-06-21,2340.00,Completed
367,295,21,2015-06-02,2015-07-07,2015-08-31,23600.00,Completed
368,258,114,2015-06-04,2015-06-08,2015-08-29,39500.00,Completed
369,270,90,2015-06-04,2015-06-06,2016-05-12,157850.00,Completed
370,33,14,2015-06-09,2015-06-20,2016-02-11,69743.00,Completed
371,433,82,2015-06-10,2015-06-26,2015-08-01,22444.00,Completed
372,148,29,2015-06-12,2015-07-09,2016-01-12,107016.00,Completed
373,84,65,2015-06-14,2015-06-22,2015-07-25,16799.00,Completed
374,185,85,2015-06-14,2015-07-17,2015-07-05,2442.00,Completed
375,330,105,2015-06-15,2015-08-16,2015-07-09,6634.00,Completed
376,213,98,2015-06-16,2015-07-26,2015-07-23,4720.00,Completed
377,121,79,2015-06-16,2015-07-29,2015-06-16,7654.00,Completed
378,379,91,2015-06-17,2015-07-05,2015-08-11,24768.00,Completed
379,292,112,2015-06-17,2015-06-17,2016-02-24,80892.00,Completed
380,500,170,2015-06-20,2015-07-17,2015-08-04,6156.00,Completed
381,499,136,2015-06-20,2015-07-10,2015-10-04,26410.00,Completed
382,192,73,2015-06-21,2015-06-22,2016-03-23,362292.00,Completed
383,242,165,2015-06-21,2015-06-22,2015-07-10,10395.00,Completed
384,71,15,2015-06-22,2015-08-30,2016-04-20,52428.00,Completed
385,62,76,2015-06-23,2015-06-27,2015-07-09,2320.00,Completed
386,28,117,2015-06-24,2015-08-08,2015-06-24,5805.00,Completed
387,33,160,2015-06-28,2015-08-01,2015-07-30,3842.00,Completed
